Psa<>78<>1<>Maschil of Asaph. Give ear, O my people, [to] my law: incline your ears to the words of my mouth.
Psa<>78<>2<>I will open my mouth in a parable: I will utter dark sayings of old:
Psa<>78<>55<>He cast out the heathen also before them, and divided them an inheritance by line, and made the tribes of Israel to dwell in their tents.
Psa<>78<>56<>Yet they tempted and provoked the most high God, and kept not his testimonies:
Psa<>78<>57<>But turned back, and dealt unfaithfully like their fathers: they were turned aside like a deceitful bow.
Psa<>78<>58<>For they provoked him to anger with their high places, and moved him to jealousy with their graven images.
Psa<>78<>59<>When God heard [this], he was wroth, and greatly abhorred Israel:
Psa<>78<>60<>So that he forsook the tabernacle of Shiloh, the tent [which] he placed among men;
Psa<>78<>61<>And delivered his strength into captivity, and his glory into the enemy's hand.
Psa<>78<>62<>He gave his people over also unto the sword; and was wroth with his inheritance.
Psa<>78<>63<>The fire consumed their young men; and their maidens were not given to marriage.
Psa<>78<>64<>Their priests fell by the sword; and their widows made no lamentation.
Psa<>78<>65<>Then the Lord awaked as one out of sleep, [and] like a mighty man that shouteth by reason of wine.
Psa<>78<>66<>And he smote his enemies in the hinder parts: he put them to a perpetual reproach.
Psa<>78<>67<>Moreover he refused the tabernacle of Joseph, and chose not the tribe of Ephraim:
Psa<>78<>68<>But chose the tribe of Judah, the mount Zion which he loved.
Psa<>78<>69<>And he built his sanctuary like high [palaces], like the earth which he hath established for ever.
Psa<>78<>70<>He chose David also his servant, and took him from the sheepfolds:
Psa<>78<>71<>From following the ewes great with young he brought him to feed Jacob his people, and Israel his inheritance.
Psa<>78<>72<>So he fed them according to the integrity of his heart; and guided them by the skilfulness of his hands.
